OrderID,Timestamp,ProductID,ProductName,Category,Quantity,GrossValue,DiscountValue,CostOfGoodsSold,CustomerID,City,LocationID,Channel,OrderStatus
ORD001,2025-02-24 11:01:14,P243,Vitamins Product 243,Vitamins,4,346.24,0.0,148.64,C7323,Riyadh,E004,Web,Completed
ORD002,2025-02-24 17:44:04,P1834,Personal Care Product 1834,Personal Care,3,118.05,0.0,51.269999999999996,C2252,Jeddah,E026,Web,Completed
ORD003,2025-04-16 09:45:59,P3599,Skincare Product 3599,Skincare,3,272.79,0.0,122.55000000000001,C11754,Dammam,E026,Web,Completed
ORD004,2025-08-07 06:34:16,P3103,Skincare Product 3103,Skincare,3,52.32,0.0,22.049999999999997,C9177,Jeddah,E016,Mobile,Completed
ORD005,2025-02-17 04:21:13,P1836,Supplements Product 1836,Supplements,3,78.87,0.0,37.769999999999996,C7321,Dammam,E040,Mobile,Completed
ORD006,2024-09-07 10:50:19,P1862,Personal Care Product 1862,Personal Care,5,814.95,0.0,420.05,C9055,Dammam,E014,Web,Completed
ORD007,2025-02-18 16:48:49,P3875,Supplements Product 3875,Supplements,5,296.85,6.88,165.25,C13806,Riyadh,E028,Retail,Completed
ORD008,2025-05-17 21:20:26,P328,Skincare Product 328,Skincare,2,203.96,0.0,121.92,C13746,Dammam,E009,Mobile,Completed
ORD009,2024-11-29 05:59:24,P1832,Skincare Product 1832,Skincare,4,196.76,0.0,100.32,C13960,Jeddah,E044,Mobile,Completed
ORD010,2025-08-12 01:11:56,P2065,Vitamins Product 2065,Vitamins,5,650.0,0.0,275.35,C4816,Dammam,E001,Retail,Completed
ORD011,2025-06-29 14:36:00,P1154,Supplements Product 1154,Supplements,4,310.0,46.89,182.12,C1938,Jeddah,E024,Web,Completed
ORD012,2025-06-25 07:43:50,P2020,Personal Care Product 2020,Personal Care,3,343.17,0.0,181.07999999999998,C9508,Dammam,E003,Web,Completed
ORD013,2025-03-31 15:47:55,P2599,Pain Relief Product 2599,Pain Relief,3,479.19,0.0,246.20999999999998,C4995,Dammam,E012,Mobile,Completed
ORD014,2025-08-14 15:39:57,P3303,Vitamins Product 3303,Vitamins,4,44.72,0.0,26.24,C10066,Dammam,E012,Web,Completed
ORD015,2025-07-11 22:05:51,P3381,Medical Devices Product 3381,Medical Devices,2,308.72,0.0,142.2,C8374,Jeddah,E027,Web,Completed
ORD016,2025-08-23 02:07:59,P1508,Pain Relief Product 1508,Pain Relief,1,95.9,0.0,48.1,C11294,Dammam,E019,Mobile,Completed
ORD017,2025-01-12 07:31:23,P1829,Personal Care Product 1829,Personal Care,2,160.98,31.55,83.44,C11927,Riyadh,E048,Web,Completed
ORD018,2024-12-26 22:56:55,P2610,Personal Care Product 2610,Personal Care,4,329.28,0.0,167.68,C8347,Dammam,E034,Web,Completed
ORD019,2025-04-06 14:11:41,P3536,Personal Care Product 3536,Personal Care,5,662.95,0.0,336.85,C1008,Jeddah,E035,Mobile,Completed
ORD020,2024-11-14 06:41:35,P2808,Medical Devices Product 2808,Medical Devices,5,776.55,0.0,393.35,C10220,Jeddah,E008,Mobile,Completed
ORD021,2025-02-14 07:30:11,P3860,Skincare Product 3860,Skincare,1,99.83,0.0,40.29,C8495,Riyadh,E023,Web,Completed
ORD022,2025-04-13 20:30:15,P1861,Supplements Product 1861,Supplements,3,169.92,0.0,68.76,C2245,Riyadh,E010,Web,Completed
ORD023,2025-01-09 05:20:55,P650,Pain Relief Product 650,Pain Relief,2,72.42,5.01,33.6,C7055,Dammam,E001,Web,Completed
ORD024,2024-10-15 21:39:15,P659,Medical Devices Product 659,Medical Devices,3,205.98,0.0,93.03,C135,Jeddah,E021,Mobile,Completed
ORD025,2025-07-09 23:53:35,P3439,Supplements Product 3439,Supplements,2,297.2,43.19,130.84,C2176,Jeddah,E029,Web,Completed
ORD026,2025-05-22 13:46:38,P2622,Vitamins Product 2622,Vitamins,4,602.4,0.59,319.8,C2235,Jeddah,E030,Web,Completed
ORD027,2025-01-17 08:38:07,P1990,Skincare Product 1990,Skincare,1,199.76,0.0,106.36,C1334,Jeddah,E017,Web,Completed
ORD028,2025-01-26 20:04:51,P1195,Vitamins Product 1195,Vitamins,5,977.5,0.0,575.95,C7728,Dammam,E012,Web,Returned
ORD029,2025-05-19 05:11:28,P3282,Pain Relief Product 3282,Pain Relief,4,70.08,0.0,30.0,C3911,Jeddah,E050,Mobile,Completed
ORD030,2024-11-28 05:35:40,P3054,First Aid Product 3054,First Aid,5,981.8,0.0,473.75,C6527,Riyadh,E017,Web,Completed
ORD031,2024-10-26 13:12:27,P1747,Pain Relief Product 1747,Pain Relief,1,40.11,1.31,18.92,C10732,Jeddah,E009,Mobile,Completed
ORD032,2024-12-28 08:51:03,P3906,Wellness Product 3906,Wellness,1,30.82,0.0,16.8,C3838,Riyadh,E024,Web,Completed
ORD033,2025-03-22 20:26:31,P3309,First Aid Product 3309,First Aid,4,90.2,15.63,39.24,C5224,Jeddah,E034,Web,Completed
ORD034,2024-12-08 20:49:34,P4009,Wellness Product 4009,Wellness,3,420.21,0.0,226.04999999999998,C3047,Dammam,E041,Web,Completed
ORD035,2025-07-22 00:14:50,P3602,Medical Devices Product 3602,Medical Devices,1,100.64,0.0,54.99,C6146,Riyadh,E016,Mobile,Completed
ORD036,2025-01-21 06:25:30,P923,Pain Relief Product 923,Pain Relief,1,146.25,0.0,85.1,C4489,Riyadh,E031,Mobile,Completed
ORD037,2024-10-24 07:59:31,P603,Personal Care Product 603,Personal Care,2,125.2,0.0,66.8,C11240,Riyadh,E024,Web,Completed
ORD038,2025-04-04 04:19:27,P2177,Skincare Product 2177,Skincare,2,189.68,0.0,85.5,C4089,Dammam,E043,Web,Completed
ORD039,2025-02-19 20:56:49,P3883,First Aid Product 3883,First Aid,1,155.3,0.0,68.59,C4032,Dammam,E009,Mobile,Completed
ORD040,2025-03-26 00:12:20,P480,First Aid Product 480,First Aid,2,190.24,0.0,93.98,C3995,Jeddah,E016,Web,Completed
ORD041,2025-03-26 11:21:19,P3818,Medical Devices Product 3818,Medical Devices,4,327.56,0.0,137.4,C9489,Riyadh,E009,Mobile,Completed
ORD042,2025-08-20 15:02:46,P138,Pain Relief Product 138,Pain Relief,4,506.32,0.0,298.64,C10758,Jeddah,E019,Mobile,Completed
ORD043,2025-07-10 23:18:25,P3768,Personal Care Product 3768,Personal Care,3,510.78,0.0,261.12,C6173,Jeddah,E016,Mobile,Completed
ORD044,2024-09-26 03:59:36,P426,Medical Devices Product 426,Medical Devices,4,171.72,0.0,94.96,C6226,Riyadh,E020,Mobile,Completed
ORD045,2025-06-18 19:24:52,P4866,Supplements Product 4866,Supplements,4,96.8,2.41,43.2,C1053,Jeddah,E039,Retail,Completed
ORD046,2025-07-18 03:45:02,P4700,Pain Relief Product 4700,Pain Relief,4,53.56,0.0,29.08,C8421,Dammam,E028,Web,Completed
ORD047,2025-04-06 16:52:16,P4785,First Aid Product 4785,First Aid,3,111.96,0.0,67.02,C8070,Jeddah,E044,Mobile,Completed
ORD048,2025-06-08 09:39:39,P1219,Supplements Product 1219,Supplements,1,66.73,0.0,29.87,C3397,Jeddah,E008,Web,Completed
ORD049,2025-07-06 08:48:01,P1808,Wellness Product 1808,Wellness,1,36.33,0.0,18.42,C12621,Jeddah,E005,Retail,Completed
